,Neighbors,Dimensions,Calinski,Tau,Silhouette,Runtime_tSNE,Runtime_clustering
116,20,5,5437,10,0.69,1785.0,3.3
117,20,5,2920,20,0.651,1785.0,2.5
118,20,5,2178,40,0.625,1785.0,4.9
119,20,5,1810,100,0.602,1785.0,3.1
120,20,8,2498,5,0.792,1785.0,3.9
121,20,8,2345,10,0.728,1785.0,4.9
122,20,8,1607,20,0.676,1785.0,2.1
123,20,8,1338,40,0.645,1785.0,3.9
124,20,8,1145,100,0.632,1785.0,5.0
125,20,10,1838,5,0.756,1785.0,3.0
126,20,10,986,10,0.69,1785.0,6.1
127,20,10,791,20,0.65,1785.0,3.5
128,20,10,714,40,0.618,1785.0,5.4
129,20,10,659,100,0.602,1785.0,3.0
130,20,15,416,5,0.6,1785.0,2.5
131,20,15,431,10,0.592,1785.0,6.2
132,20,15,292,20,0.512,1785.0,2.6
133,20,15,267,40,0.478,1785.0,5.1
134,20,15,278,100,0.49,1785.0,4.4
135,20,20,290,5,0.527,1785.0,3.1
136,20,20,250,10,0.477,1785.0,5.2
137,20,20,171,20,0.417,1785.0,4.3
138,20,20,152,40,0.387,1785.0,5.8
139,20,20,152,100,0.38,1785.0,2.6
140,40,2,40868,5,0.813,1785.0,6.2
141,40,2,26903,10,0.704,1785.0,1.8
142,40,2,17944,20,0.687,1785.0,1.7
143,40,2,12565,40,0.651,1785.0,3.1
144,40,2,8338,100,0.628,1785.0,3.7
145,40,3,40375,5,0.815,1785.0,2.8
146,40,3,14677,10,0.776,1785.0,2.8
147,40,3,8689,20,0.717,1785.0,4.7
148,40,3,6433,40,0.629,1785.0,3.3
149,40,3,5060,100,0.612,1785.0,5.5
150,40,5,22911,5,0.794,1785.0,2.5
151,40,5,6908,10,0.669,1785.0,1.6
152,40,5,3550,20,0.67,1785.0,4.1
153,40,5,2441,40,0.642,1785.0,2.8
154,40,5,2018,100,0.625,1785.0,1.6
155,40,8,4965,5,0.83,1785.0,1.5
156,40,8,2777,10,0.735,1785.0,4.2
157,40,8,1870,20,0.706,1785.0,2.5
158,40,8,1523,40,0.676,1785.0,1.5
159,40,8,1355,100,0.659,1785.0,1.5
160,40,10,2309,5,0.809,1785.0,4.9
161,40,10,1863,10,0.761,1785.0,3.1
162,40,10,901,20,0.683,1785.0,2.7
163,40,10,803,40,0.655,1785.0,6.5
164,40,10,746,100,0.635,1785.0,2.6
165,40,15,429,5,0.601,1785.0,3.4
166,40,15,547,10,0.624,1785.0,4.6
167,40,15,304,20,0.511,1785.0,2.8
168,40,15,285,40,0.496,1785.0,5.4
169,40,15,279,100,0.486,1785.0,2.8
170,40,20,305,5,0.562,1785.0,2.9
171,40,20,298,10,0.505,1785.0,5.8
172,40,20,196,20,0.431,1785.0,2.7
173,40,20,179,40,0.414,1785.0,4.5
174,40,20,163,100,0.391,1785.0,3.5
175,50,2,41216,5,0.815,1785.0,1.7
176,50,2,28671,10,0.71,1785.0,2.2
177,50,2,18820,20,0.664,1785.0,4.7
178,50,2,13037,40,0.666,1785.0,1.7
179,50,2,7802,100,0.624,1785.0,1.7
180,50,3,40722,5,0.817,1785.0,3.2
181,50,3,15315,10,0.787,1785.0,3.7
182,50,3,9466,20,0.74,1785.0,1.6
183,50,3,6545,40,0.725,1785.0,1.6
184,50,3,5100,100,0.614,1785.0,3.5
185,50,5,23084,5,0.789,1785.0,3.2
186,50,5,7225,10,0.681,1785.0,1.6
187,50,5,3857,20,0.663,1785.0,1.5
188,50,5,2489,40,0.646,1785.0,2.8
189,50,5,2017,100,0.632,1785.0,4.0
190,50,8,5053,5,0.831,1785.0,1.7
191,50,8,2857,10,0.742,1785.0,1.6
192,50,8,2054,20,0.716,1785.0,2.7
193,50,8,1616,40,0.687,1785.0,3.8
194,50,8,1420,100,0.668,1785.0,1.6
195,50,10,2331,5,0.81,1785.0,2.8
196,50,10,1901,10,0.766,1785.0,5.2
197,50,10,945,20,0.69,1785.0,2.6
198,50,10,833,40,0.665,1785.0,2.9
199,50,10,769,100,0.645,1785.0,5.3
200,50,15,439,5,0.615,1785.0,2.7
201,50,15,482,10,0.602,1785.0,3.9
202,50,15,320,20,0.52,1785.0,3.9
203,50,15,275,40,0.494,1785.0,2.9
204,50,15,252,100,0.465,1785.0,5.6
205,50,20,328,5,0.574,1785.0,2.2
206,50,20,281,10,0.482,1785.0,2.3
207,50,20,207,20,0.44,1785.0,6.4
208,50,20,183,40,0.422,1785.0,2.8
209,50,20,156,100,0.39,1785.0,4.8
